TOT_POP,% NA/AI-alone,% Hawaiian/PI-alone,Bachelor's degree or higher 2014-18,Population Aged 60+,STATE_FIPS,anycondition_number,Total Hospitals (2019)
52014.0,1.182373976,0.720959742,7509.0,6246.0,29.0,16081.0,1.035788414
44161.0,10.87384797,0.407599466,5661.0,11238.0,40.0,16674.0,1.39995293
12691.0,0.133953195,0.031518399,1715.0,3005.0,1.0,5496.0,0.262239122
36968.0,0.403051288,0.205583207,10839.0,12868.0,24.0,12585.0,0.30588884
56195.0,0.455556544,0.05516505,8372.0,16636.0,51.0,21897.0,0.63335519
15695.0,0.911118191,0.070086015,1086.0,2482.0,48.0,5885.0,0.285991545
399182.0,0.24424949,0.061626025,99685.0,74900.0,29.0,130626.0,7.949169274
43734.0,0.455023552,0.022865505,3604.0,9973.0,47.0,17760.0,0.742895505
5546.0,1.334294987,0.072124053,846.0,1423.0,46.0,1643.0,0.358319495
19807.0,5.614176806,0.025243601,2239.0,6367.0,37.0,9130.0,0.213642641
12288.0,0.333658854,0.024414063,2026.0,3156.0,17.0,4283.0,0.180350174
179436.0,0.862145835,0.147127667,24996.0,29137.0,48.0,61039.0,3.269651411
8645.0,0.30075188,0.06940428,1010.0,2459.0,19.0,3074.0,0.323213921
9036.0,0.520141656,0.022133687,668.0,2285.0,13.0,3604.0,0.124551843
14465.0,0.477013481,0.110611822,1310.0,3582.0,28.0,6690.0,0.479497946
94016.0,0.998766168,0.080837304,13505.0,22363.0,37.0,36526.0,1.014077172
52516.0,0.634092467,0.041891995,5180.0,14012.0,26.0,20706.0,0.756539446
20611.0,0.621027607,0.009703556,5014.0,7657.0,37.0,7761.0,0.222314761
15951.0,1.510877061,0.062691994,2217.0,4042.0,20.0,6029.0,0.761526771
107239.0,0.528725557,0.06247727,28158.0,23448.0,51.0,32101.0,1.208655169
18691.0,0.866727302,0.074902359,2403.0,5546.0,48.0,7171.0,0.340584133
1034.0,1.160541586,0.193423598,168.0,380.0,30.0,350.0,0.054507886
217522.0,2.352865457,0.172856079,35624.0,41981.0,35.0,67959.0,4.256124286
57686.0,0.40564435,0.057206255,5802.0,9951.0,29.0,19641.0,1.148738617
56682.0,0.276983875,0.042341484,10654.0,13622.0,54.0,22543.0,1.757744907
102793.0,0.466957867,0.065179536,31512.0,18998.0,36.0,25108.0,0.87316833
48649.0,0.285720159,0.045221896,16104.0,12397.0,44.0,12601.0,0.50613015
45129.0,1.041458929,0.066476102,5246.0,14771.0,48.0,18613.0,0.822332746
2213.0,0.723000452,0.0,313.0,606.0,46.0,721.0,0.142978912
514631.0,1.802456517,0.611311794,102693.0,105082.0,53.0,164540.0,6.282991208
62190.0,0.453449108,0.125422094,7647.0,9061.0,13.0,19050.0,0.857224339
2131.0,1.07930549,0.046926326,259.0,388.0,48.0,743.0,0.038830709
465861.0,2.763914558,0.231184838,38493.0,69266.0,6.0,138599.0,4.227921954
64227.0,0.345649026,0.093418656,7899.0,17239.0,42.0,21569.0,0.997978693
13308.0,0.443342351,0.0,1174.0,3706.0,22.0,6010.0,0.451217581
17769.0,0.360177838,0.039394451,1937.0,4693.0,5.0,7186.0,0.518833044
51323.0,0.235761744,0.04676266,5185.0,13217.0,39.0,20021.0,0.851765379
62567.0,0.279700161,0.046350312,12541.0,13734.0,18.0,20445.0,1.234159379
2664.0,2.665165165,0.0,412.0,720.0,40.0,1039.0,0.08445177
10673.0,1.152440738,0.037477748,1113.0,3014.0,5.0,4155.0,0.311638532
4833.0,0.889716532,0.165528657,1866.0,1815.0,8.0,1343.0,0.075521406
1516.0,0.791556728,0.0,249.0,477.0,48.0,642.0,0.027624287
9605.0,1.186881832,0.062467465,3416.0,2454.0,8.0,2543.0,0.150089614
118189.0,1.129546743,0.158221154,18162.0,23527.0,48.0,39665.0,2.153619288
92176.0,0.46432911,0.22782503,10125.0,23202.0,39.0,31621.0,1.529768829
46222.0,0.168750811,0.034615551,4050.0,12596.0,42.0,16831.0,0.718211518
44593.0,0.3543157,0.141277779,5977.0,10052.0,18.0,17393.0,0.87961496
7063.0,0.254849214,0.042474869,790.0,2161.0,19.0,2418.0,0.264067082
2252.0,1.243339254,0.044404973,598.0,965.0,48.0,1042.0,0.04103555
5190.0,10.69364162,0.269749518,873.0,1703.0,31.0,1861.0,0.250182971
20468.0,0.381082666,0.102599179,1879.0,5282.0,21.0,9782.0,0.480963888
17150.0,0.373177843,0.034985423,2214.0,4041.0,21.0,7077.0,0.402996418
21515.0,0.697188008,0.060422961,1371.0,3957.0,48.0,9035.0,0.392042567
43327.0,9.035936021,0.043852563,8226.0,10654.0,37.0,15791.0,0.467334513
37320.0,0.375133976,0.032154341,4310.0,8344.0,47.0,14540.0,0.633942934
37253.0,1.234799882,0.118111293,4281.0,7788.0,22.0,13841.0,1.263090512
37317.0,0.509151325,0.101830265,4114.0,8947.0,21.0,15124.0,0.876887308
